date,open,high,low,close,volume
2022-03-02,160.92,163.83,159.51,163.04,79724800
2022-03-03,164.91,165.34,162.05,162.72,76678400
2022-03-04,161.02,162.05,158.68,159.72,83737200
2022-03-07,159.91,161.54,155.68,155.94,96418800
2022-03-08,155.47,159.44,152.51,154.12,131148300
2022-03-09,158.07,159.96,156.04,159.51,91454900
2022-03-10,156.82,157.0,152.69,155.17,105342000
2022-03-11,155.57,155.92,151.24,151.46,96970100
2022-03-14,148.25,150.87,146.93,147.44,108732100
2022-03-15,147.71,152.28,147.2,151.81,92964300
2022-03-16,153.73,156.62,151.2,156.22,102300200
2022-03-17,155.26,157.6,154.3,157.23,75615400
2022-03-18,157.12,161.01,156.39,160.52,123511700
2022-03-21,160.06,162.84,159.57,161.89,95811400
2022-03-22,162.01,165.84,161.43,165.25,81532000
2022-03-23,164.44,168.99,164.11,166.62,98062700
2022-03-24,167.45,170.46,166.62,170.39,90131400
2022-03-25,170.21,171.58,169.1,171.03,80546200
2022-03-28,168.53,172.02,168.37,171.89,90371900
2022-03-29,172.96,175.23,172.62,175.18,100589400
2022-03-30,174.78,175.82,172.97,174.02,92633200
2022-03-31,174.08,174.27,170.72,170.92,103049300
2022-04-01,170.35,171.19,168.31,170.63,78751300
2022-04-04,170.88,174.72,170.76,174.67,76468400
2022-04-05,173.75,174.53,170.74,171.36,73401800
2022-04-06,168.72,169.96,166.54,168.2,89058800
2022-04-07,167.55,169.7,166.26,168.5,77594700
2022-04-08,168.15,168.15,165.63,166.5,76575500
2022-04-11,165.15,165.46,162.01,162.25,72246700
2022-04-12,164.47,166.28,163.12,164.12,79265200
2022-04-13,163.86,167.43,163.25,166.8,70618900
2022-04-14,167.02,167.65,161.55,161.8,75329400
2022-04-18,160.46,163.08,160.12,161.58,69023900
2022-04-19,161.54,164.28,160.45,163.86,67723800
2022-04-20,165.2,165.31,162.59,163.7,67929800
2022-04-21,165.34,167.91,162.41,162.91,87227800
2022-04-22,162.94,164.33,158.09,158.37,84882400
2022-04-25,157.72,159.72,155.11,159.44,96046400
2022-04-26,158.82,158.91,153.41,153.49,95623200
2022-04-27,152.62,156.42,152.1,153.26,88063200
2022-04-28,155.89,161.05,155.57,160.18,130216800
2022-04-29,158.42,162.69,153.93,154.32,131747600
2022-05-02,153.4,154.89,150.03,154.62,123055300
2022-05-03,154.81,157.32,153.02,156.11,88966500
2022-05-04,156.3,162.96,155.9,162.51,108256500
2022-05-05,160.39,160.62,151.68,153.46,130525300
2022-05-06,152.94,156.3,151.15,154.18,116124600
2022-05-09,151.88,152.76,148.51,149.07,131577900
2022-05-10,152.46,153.66,149.92,151.47,115366700
2022-05-11,150.48,152.39,142.94,143.62,142689800
2022-05-12,139.96,143.32,136.07,139.75,182602000
2022-05-13,141.74,145.19,140.29,144.22,113990900
2022-05-16,142.69,144.62,141.34,142.68,86643800
2022-05-17,145.93,146.82,143.79,146.3,78336300
2022-05-18,143.96,144.46,137.15,138.05,109742900
2022-05-19,137.13,138.87,133.91,134.65,136095600
2022-05-20,136.35,137.93,130.0,134.88,137426100
2022-05-23,135.08,140.44,134.94,140.29,117726300
2022-05-24,138.04,139.18,134.63,137.6,104132700
2022-05-25,135.71,139.0,135.62,137.75,92482700
2022-05-26,134.69,141.5,134.44,140.95,90601500
2022-05-27,142.53,146.73,142.4,146.7,90978500
2022-05-31,146.14,147.7,143.95,145.91,103718400
2022-06-01,146.95,148.75,144.77,145.78,74286600
2022-06-02,144.92,148.29,143.97,148.23,72348100
2022-06-03,144.01,145.06,141.62,142.52,88570300
2022-06-06,144.14,145.65,142.05,143.26,71598400
2022-06-07,141.51,146.07,141.26,145.78,67808200
2022-06-08,145.66,146.92,144.56,145.05,53950200
2022-06-09,144.19,145.04,139.73,139.83,69473000
2022-06-10,137.52,137.99,134.36,134.43,91437900
2022-06-13,130.26,132.54,128.85,129.28,122207100
2022-06-14,130.51,131.26,128.89,130.15,84784300
2022-06-15,131.65,134.64,129.56,132.76,91533000
2022-06-16,129.48,129.78,126.5,127.5,108123900
2022-06-17,127.51,130.46,127.26,128.97,134520300
2022-06-21,130.79,134.36,130.7,133.2,81000500
2022-06-22,132.14,135.05,131.27,132.69,73409200
2022-06-23,134.13,135.86,132.96,135.55,72433800
2022-06-24,137.15,139.12,137.02,138.87,89116800
2022-06-27,139.89,140.67,138.2,138.87,70207900
2022-06-28,139.33,140.6,134.62,134.74,67083400
2022-06-29,134.75,137.9,133.98,136.49,66242400
2022-06-30,134.55,135.65,131.14,134.03,98964500
2022-07-01,133.36,136.3,132.99,136.2,71051600
2022-07-05,135.06,138.82,134.24,138.77,73353800
2022-07-06,138.57,141.28,138.3,140.11,74064300
2022-07-07,140.47,143.67,140.46,143.47,66253700
2022-07-08,142.4,144.65,142.15,144.15,64547800
2022-07-11,142.8,143.75,140.95,142.02,63141600
2022-07-12,142.89,145.53,142.2,142.99,77588800
2022-07-13,140.18,143.57,139.32,142.63,71185600
2022-07-14,141.24,146.02,140.43,145.55,78140700
2022-07-15,146.83,147.89,145.28,147.21,76259900
2022-07-18,147.77,148.59,143.81,144.18,81420900
2022-07-19,145.01,148.25,144.02,148.03,82982400
2022-07-20,148.15,150.69,147.41,150.03,64823400
2022-07-21,151.46,152.51,148.95,152.29,65086600
2022-07-22,152.33,153.2,150.39,151.06,66675400
2022-07-25,150.98,151.99,149.28,149.94,53623900
2022-07-26,149.26,150.08,147.83,148.62,55138700
2022-07-27,149.58,154.23,149.17,153.7,78620700
2022-07-28,153.89,154.54,151.37,154.25,81378700
2022-07-29,158.07,160.41,156.36,159.31,101786900
2022-08-01,157.84,160.37,157.72,158.33,67829400
2022-08-02,156.95,159.21,156.49,156.86,59907000
2022-08-03,157.67,163.31,157.59,162.86,82507500
2022-08-04,162.74,163.9,161.19,162.55,55474100
2022-08-05,160.22,162.81,160.01,162.32,56697000
2022-08-08,163.32,164.74,161.19,161.85,60276900
2022-08-09,161.02,162.78,160.26,161.9,63135500
2022-08-10,164.61,166.24,163.84,166.14,70170500
2022-08-11,166.94,167.86,165.11,165.4,57149200
2022-08-12,166.71,169.02,166.3,168.95,68039400
2022-08-15,168.38,170.21,168.21,170.02,54091700
